192.078555564 ,63.5267352498 ,62.101237447
192.094917398 ,103.092439377 ,-46.4105943271
192.981129391 ,13.6057784126 ,-44.651604807
193.196818993 ,101.012362995 ,-47.0308196031
196.429896964 ,-31.0227784025 ,78.4980798494
196.88397371 ,38.4461706146 ,-5.11816390909
197.082655993 ,37.4143534698 ,-42.765819763
197.106178245 ,-53.194585039 ,-82.2274685992
198.578026118 ,15.9130259893 ,110.905752728
198.695233502 ,8.20496099252 ,98.1053486522
199.286805315 ,88.3927461633 ,-65.782615679
199.501056234 ,29.2314460862 ,112.580190613
199.723334628 ,332.554904149 ,309.600607258
200.099955105 ,135.476937839 ,47.5772063861
201.594113709 ,17.0185462657 ,94.5610716833
202.268058541 ,4.1773308606 ,94.3225633249
202.491653734 ,148.001966475 ,135.676049077
202.725457035 ,97.7926606305 ,-51.1777374058
203.08375419 ,-22.4812889916 ,115.038198064
203.857890955 ,195.002067452 ,111.385476415
203.874383027 ,153.427004784 ,-33.6178697698
204.840614229 ,142.802451746 ,118.819940348
204.867452357 ,93.2220058135 ,-67.8583715097
205.315880476 ,-16.4302426975 ,75.253216507
205.323770231 ,198.459208887 ,138.139712009
205.442881139 ,-9.10965378182 ,-93.1986206488
206.324721644 ,163.776477229 ,130.05820798
206.441474883 ,206.827581839 ,147.96582333
207.542507848 ,201.014821848 ,82.6010179112
208.028009199 ,-67.1354477474 ,-100.592033127
208.074796857 ,190.495997145 ,152.25564582
208.296424717 ,355.802247753 ,328.718255309
208.865401132 ,87.471221074 ,67.0930697236
209.135537362 ,106.174646025 ,-7.52917666218
212.454519029 ,115.13935063 ,-49.2157089661
212.646888737 ,32.0619189766 ,101.275126386
212.646888737 ,32.0619189766 ,101.275126386
212.760865988 ,85.0169183777 ,60.230349458
213.438955732 ,139.81567161 ,128.950492259
213.66331037 ,24.3855641664 ,119.694547978
213.900041544 ,60.552611095 ,-84.406725094
214.936908375 ,86.6164572691 ,72.9431667664
214.974545563 ,86.5230027898 ,-73.2829770061
216.814265733 ,174.9030771 ,93.3360424369
217.842975575 ,92.8220657077 ,-53.2022315091
217.873525484 ,132.799611237 ,128.573329373
220.784789541 ,-6.8938136984 ,-100.031412531
222.650916334 ,149.77782658 ,105.558828569
223.633212122 ,5.52495863317 ,82.627629305
225.156058491 ,144.196208007 ,28.4383022337
